elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic,model_id,model_name_fp
0,0,-37155.60948383835,123.44966242757091,738.5848476086969,54.142093567768306,74311.2189676767,246.89932485514183,model2,fitting_code/soma_tmt_mortality.R
-46.197097814551576,10.004961151863862,-37201.8065816529,121.70210134198462,731.567262218449,54.12648854541883,74403.6131633058,243.40420268396923,model1,fitting_code/soma_tmt_base.R
