background_library,driver_shortname,gene_name,gene_age,gene_origin,chromosome,female_cross_mean,male_cross_mean,female_cross_sd,male_cross_sd,female_cross_lwr,male_cross_lwr,female_cross_upr,male_cross_upr,female_lwr_2.5,male_lwr_2.5,female_median,male_median,female_mean,male_mean,female_sd,male_sd,female_upr_97.5,male_upr_97.5,male_beneficial,female_beneficial,male_detrimental,female_detrimental,signif
GD,Act,CG10799,11-25MYA,D,2,0.3318144888202661,0.05222316137894222,0.7915056506486166,0.7891419351937543,-1.3569847070181051,-1.6184171454496068,1.8204095495355554,1.5427161084259446,-0.5928565584365451,-0.7718968567421375,-0.1632999920383698,-0.336352267615732,-0.15347568194499014,-0.3302537280161693,0.23515636035937085,0.23396204505200935,0.3219233140744403,0.14071572137165847,FALSE,FALSE,FALSE,FALSE,FALSE
GD,Nos,CG10799,11-25MYA,D,2,-0.005226263436989185,-0.18690666731791594,2.580772638728432,2.5802067765261283,-4.931436775775969,-5.05868793683899,5.121288614469517,4.938214955464604,-0.4745829616489457,0.022330862920395114,-0.05149805986813335,0.4575271298987196,-0.049121343702001025,0.46268917186523795,0.22370564734908696,0.2286961699192535,0.39603703865532586,0.9152859532738927,FALSE,FALSE,FALSE,FALSE,FALSE
GD,Tub,CG10799,11-25MYA,D,2,0.34498936675355885,-0.08540593287708405,0.7949144987721093,0.797163298029635,-1.3211770827480522,-1.7574390409205771,1.873852265759217,1.428571960871993,-0.5712871509428245,-0.7148182785046077,-0.13539610611479994,-0.2581521136555126,-0.13453066782774292,-0.2508339466616013,0.2288936312570081,0.23983948088727197,0.3261209468485007,0.2263873799230492,FALSE,FALSE,FALSE,FALSE,FALSE
GD,Nos,CG13402,0-3MYA,D,X,-0.005226263436989185,-0.18690666731791594,2.580772638728432,2.5802067765261283,-4.931436775775969,-5.05868793683899,5.121288614469517,4.938214955464604,-0.36094961503805295,-0.052548037897550845,-0.04270440326926837,0.2760254075587578,-0.04261391130418035,0.27537582682474687,0.16707631050834898,0.166964477439911,0.2879582458716756,0.5985097048099485,FALSE,FALSE,FALSE,FALSE,FALSE
GD,Act,CG1361,6-11MYA,A,3,0.3318144888202661,0.05222316137894222,0.7915056506486166,0.7891419351937543,-1.3569847070181051,-1.6184171454496068,1.8204095495355554,1.5427161084259446,-0.45772103769926553,-0.8661679858214116,-0.025532686138913754,-0.4256263365764126,-0.01891485378406012,-0.421498109174616,0.2343836623867958,0.2323379071714911,0.46115727552347063,0.05002176866464174,FALSE,FALSE,FALSE,FALSE,FALSE
GD,Tub,CG1361,6-11MYA,A,3,0.34498936675355885,-0.08540593287708405,0.7949144987721093,0.797163298029635,-1.3211770827480522,-1.7574390409205771,1.873852265759217,1.428571960871993,-0.5345929912194145,-0.5433695206104777,-0.09903469925304972,-0.0964916740494493,-0.09229244828203848,-0.09384492883107505,0.23429767041357794,0.2364750351800864,0.3813852614411099,0.3887268080537849,FALSE,FALSE,FALSE,FALSE,FALSE
GD,Act,CG14027,6-11MYA,D,2,0.3318144888202661,0.05222316137894222,0.7915056506486166,0.7891419351937543,-1.3569847070181051,-1.6184171454496068,1.8204095495355554,1.5427161084259446,-0.3860969737286231,-0.5313996883642288,0.04117252261107912,-0.08720795951239096,0.04798947164495225,-0.08067456551115615,0.23106155657504718,0.23388406980373502,0.5114179072842893,0.39112357151728344,FALSE,FALSE,FALSE,FALSE,FALSE
GD,Nos,CG14027,6-11MYA,D,2,-0.005226263436989185,-0.18690666731791594,2.580772638728432,2.5802067765261283,-4.931436775775969,-5.05868793683899,5.121288614469517,4.938214955464604,-0.5665897054716701,-0.45027959903876363,-0.1360768802062819,-0.014202169207406202,-0.13409786472056803,-0.010907249758923654,0.22169968993512218,0.22877360093584143,0.3037246276386383,0.44605067965769263,FALSE,FALSE,FALSE,FALSE,FALSE
GD,Tub,CG14027,6-11MYA,D,2,0.34498936675355885,-0.08540593287708405,0.7949144987721093,0.797163298029635,-1.3211770827480522,-1.7574390409205771,1.873852265759217,1.428571960871993,-0.656100540213262,-0.35465857659490585,-0.19074912927377607,0.08252162649559777,-0.18832878018147212,0.08694542232995361,0.2376258950379505,0.2316852295204774,0.29281580555380204,0.548771493021475,FALSE,FALSE,FALSE,FALSE,FALSE
GD,Act,CG14088,6-11MYA,R,3,0.3318144888202661,0.05222316137894222,0.7915056506486166,0.7891419351937543,-1.3569847070181051,-1.6184171454496068,1.8204095495355554,1.5427161084259446,-0.9330025119378762,-0.6829938209931643,-0.5147589976584861,-0.23658072913344802,-0.5053680141395185,-0.23373349412953742,0.22843045273465082,0.23099146555355304,-0.03281431077474304,0.2319756396773548,FALSE,FALSE,FALSE,FALSE,FALSE
GD,Nos,CG14088,6-11MYA,R,3,-0.005226263436989185,-0.18690666731791594,2.580772638728432,2.5802067765261283,-4.931436775775969,-5.05868793683899,5.121288614469517,4.938214955464604,-0.2746064715169844,-0.1996116586061356,0.15886108457987091,0.23491713645457962,0.16033782713785386,0.23864573695058441,0.2264495807036909,0.22827328929297408,0.6084849476463293,0.6954389420872135,FALSE,FALSE,FALSE,FALSE,FALSE
GD,Tub,CG14088,6-11MYA,R,3,0.34498936675355885,-0.08540593287708405,0.7949144987721093,0.797163298029635,-1.3211770827480522,-1.7574390409205771,1.873852265759217,1.428571960871993,-0.6913201893010349,-1.5471806536383887,-0.25337852212409223,-1.0736604909639438,-0.24903908308738995,-1.074386563010696,0.23292188368303265,0.23974897430719286,0.23201853870655212,-0.5958226757355098,FALSE,FALSE,TRUE,FALSE,TRUE
GD,Act,CG14251,6-11MYA,D,3,0.3318144888202661,0.05222316137894222,0.7915056506486166,0.7891419351937543,-1.3569847070181051,-1.6184171454496068,1.8204095495355554,1.5427161084259446,-0.5531196504118188,-1.2202220849854977,-0.126142130319404,-0.7678855786506789,-0.12239865044837021,-0.7654010075538438,0.22787223207973917,0.2389680533235006,0.335297866335367,-0.2843897687406625,FALSE,FALSE,TRUE,FALSE,TRUE
GD,Nos,CG14251,6-11MYA,D,3,-0.005226263436989185,-0.18690666731791594,2.580772638728432,2.5802067765261283,-4.931436775775969,-5.05868793683899,5.121288614469517,4.938214955464604,-0.7342050909686294,-0.3328607097919391,-0.304311757577272,0.11137282865472622,-0.297549884458609,0.11357482119274202,0.22885713937645283,0.22903472801639801,0.17998928003922246,0.5540115698871714,FALSE,FALSE,FALSE,FALSE,FALSE
