mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,par_name,beta_id,background_id,sex_id,driver_id,construct_id,time_id,experiment_count,beta_val_id,model_index,month_id,parental_mortality
-0.19861136502359392,0.053525255876947196,1.3287955296341591,-2.779377905963689,-1.0848828825209411,-0.19776765072789543,0.7216853605225348,2.3847973750040037,616.3094296094475,1.009630951723973,beta_vals[1],1,1,NA,NA,NA,NA,3172,1,1,NA,NA
-0.1597802244922629,0.05346447921736769,1.3301870642981881,-2.709101651122766,-1.0526329558601735,-0.15474577440379386,0.7483133687088643,2.411145398371259,619.0058573740221,1.0097167913577545,beta_vals[2],2,2,NA,NA,NA,NA,4047,2,1,NA,NA
0.1088596175562622,0.06598088941286545,2.1220554858625538,-4.2182680032486335,-1.2599919746215409,0.1259223792104855,1.5049767643916223,4.320073739268439,1034.3729141047613,1.0018935915261016,beta_vals[3],3,1,1,1,NA,NA,1402,3,1,NA,NA
-0.13968705080240698,0.06604374905051781,2.1211567012134345,-4.423111618770411,-1.5036830753088593,-0.1151041784467213,1.248839196937501,4.054140783042112,1031.53049069655,1.0019563657966886,beta_vals[4],4,1,2,1,NA,NA,1405,4,1,NA,NA
0.033739069504930316,0.07519238830512093,1.9790667819265801,-3.8042760451312763,-1.327037567883452,0.015376037959063487,1.3761492894931284,3.829281655899019,692.7445854379903,1.0053735483935247,beta_vals[5],5,2,1,1,NA,NA,1936,5,1,NA,NA
0.05606382753270442,0.07507477946585246,1.9779355851674991,-3.753792941347978,-1.3023954747094177,0.047244479717731255,1.4042144383095478,3.839495756383656,694.1225565259456,1.0054138838987403,beta_vals[6],6,2,2,1,NA,NA,1972,6,1,NA,NA
0.044772540994694195,0.05845499218945648,2.0327344002758054,-3.903268329337419,-1.329955823840829,0.03418772681514068,1.4473222898447469,4.0503760434737845,1209.2554686457402,1.0036208261201958,beta_vals[7],7,NA,NA,NA,3,NA,30,7,1,NA,NA
0.2149672345638555,0.05844635246306714,2.029434402775514,-3.7162671274114993,-1.1798006956740954,0.213032083936052,1.6082824266033864,4.212330221016127,1205.6887563094922,1.0037265547001717,beta_vals[8],8,NA,NA,NA,5,NA,30,8,1,NA,NA
-0.12605094145777535,0.058557186084931434,2.029735086932252,-4.0632207033155145,-1.515476527350724,-0.15257440090096985,1.2797736597362845,3.8382605098269775,1201.484909767815,1.0035694544378329,beta_vals[9],9,NA,NA,NA,16,NA,30,9,1,NA,NA
0.1436681070284019,0.05837425196443265,2.027290050672475,-3.8221566635422772,-1.2312551999235697,0.11578774235281511,1.5294152507955887,4.1400252972842875,1206.1161181876632,1.0036531814850167,beta_vals[10],10,NA,NA,NA,34,NA,30,10,1,NA,NA
-0.06134021941453084,0.058464359119911644,2.0305496931542324,-3.978152679536096,-1.437360155590319,-0.06402112258331367,1.3315623988909655,3.9224574457074954,1206.2709192101374,1.0036584063139362,beta_vals[11],11,NA,NA,NA,38,NA,30,11,1,NA,NA
-0.07843917232880648,0.0528913782255143,1.3062427510579515,-2.6497559207835035,-0.9593511107181584,-0.07590020830084654,0.777604729945548,2.493526264924687,609.9272247633044,1.0093750819213665,beta_vals[12],12,NA,NA,NA,NA,1,72,12,1,NA,NA
-0.23251275619792,0.05329758517568022,1.3136099420638818,-2.7756727503836616,-1.129280470804455,-0.24523566762835694,0.6314497904711383,2.3299371269860503,607.4601441458761,1.009404370931355,beta_vals[13],13,NA,NA,NA,NA,2,32,13,1,NA,NA
-0.31851391157005643,0.05287793253156571,1.3050954599140008,-2.893674984631785,-1.2011585950865062,-0.3139409168916727,0.5462352662631853,2.2200806694858524,609.1659570422332,1.0091180050139932,beta_vals[14],14,NA,NA,NA,NA,3,72,14,1,NA,NA
0.3213464998085565,0.05301829077692242,1.309801495017125,-2.2474752426809186,-0.557691347975215,0.3405174324942411,1.185314560990434,2.878994412019998,610.3226930878337,1.0092184848162693,beta_vals[15],15,NA,NA,NA,NA,4,42,15,1,NA,NA
0.08197733284142796,0.05328915673274282,1.3191173566131822,-2.4861704172840997,-0.8172972989370311,0.06919329988477287,0.9549945385722303,2.6774328099795053,612.7582592143432,1.009355444667394,beta_vals[16],16,NA,NA,NA,NA,5,31,16,1,NA,NA
0.1870028176413416,0.05323421672744878,1.3119976457882885,-2.3210897546794396,-0.7102339331404519,0.18530865211771697,1.0372480398014117,2.7292340337068,607.4134086948438,1.009442351559457,beta_vals[17],17,NA,NA,NA,NA,6,30,17,1,NA,NA
0.3334192038354252,0.052792407029720795,1.308111317543644,-2.2566090621477293,-0.5609342322259612,0.34953450517109924,1.1952925433834678,2.8880580324755827,613.9690494848955,1.0093246140026382,beta_vals[18],18,NA,NA,NA,NA,7,30,18,1,NA,NA
-0.23661890246602577,0.0528831174154276,1.308438180335883,-2.7835780319026364,-1.1245386923022522,-0.23057672189764633,0.6251373630547764,2.3321492854949133,612.1703904089785,1.008836896783045,beta_vals[19],19,NA,NA,NA,NA,8,30,19,1,NA,NA
-0.027075140023490887,0.060089217858159655,1.6482939451025458,-3.238172640170803,-1.102536092792679,-0.03105841346152985,1.0544291584529581,3.236031445773542,752.4475358907032,1.0035722392070037,beta_vals[20],20,NA,NA,NA,NA,9,836,20,1,NA,NA
0.03371324712998611,0.060253276914004575,1.6526502386384312,-3.186643264263352,-1.0445202098338109,0.024229690675825942,1.0983494325310288,3.3180045779105436,752.3164511347272,1.0034271839630458,beta_vals[21],21,NA,NA,NA,NA,10,417,21,1,NA,NA
