mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,par_name,beta_id,background_id,sex_id,driver_id,construct_id,experiment_count,beta_val_id,model_index,parental_mortality
0.15346386306235366,0.08162742326228606,0.8746209365575184,-1.46445742892283,-0.4599529598942743,0.13695308597922912,0.7240428916969526,1.9191424354222886,114.80678724206835,1.0293938819546486,beta_vals[1],1,1,NA,NA,NA,2073,1,1,NA
0.18583897296353794,0.09705520850714938,0.5998148612645561,-0.97006828903124,-0.2298062657273346,0.18016768925042123,0.605188552397673,1.3506356244141564,38.1941412396692,1.0916244083332503,beta_vals[2],2,2,NA,NA,NA,5225,2,1,NA
0.3570742743918685,0.08289650566188882,0.8298233330957819,-1.313921812126734,-0.19272594818888047,0.37152975477249833,0.935631622989378,1.911837384547285,100.20717900765487,1.0338813535485407,beta_vals[3],3,1,1,1,NA,372,3,1,NA
0.37613306768881605,0.08319226922036034,0.8301324355308142,-1.3088320883846003,-0.1735819484615837,0.3895533642566747,0.9404831937441427,1.9182880556173076,99.57007293647796,1.0346351788587247,beta_vals[4],4,1,1,2,NA,339,4,1,NA
0.0924412480462317,0.08167853339376853,0.8252819152739562,-1.5507739975657746,-0.4520718122919196,0.10487243787392309,0.6584163556687257,1.6497450171226753,102.09131424841259,1.0309343037972418,beta_vals[5],5,1,2,1,NA,359,5,1,NA
-0.07163172671710079,0.08278357225558218,0.8297748202774258,-1.749807496445307,-0.6168078013217471,-0.05306375442766739,0.5057815686966718,1.4781548368568174,100.4690227085062,1.031893444853445,beta_vals[6],6,1,2,2,NA,330,6,1,NA
0.09683694728362918,0.09629625416757688,0.5339081724538495,-0.894646003753603,-0.27512945302909325,0.0997815498381473,0.4787930341117108,1.1025674795942515,30.740742251243496,1.1158688223511464,beta_vals[7],7,2,1,1,NA,903,7,1,NA
0.004014918845739389,0.0981527430803,0.5286087809785488,-0.9613429013272187,-0.36271266181431006,-0.010887209164472854,0.38099589713284776,1.0176487714136868,29.004398510260405,1.121684822886217,beta_vals[8],8,2,1,2,NA,831,8,1,NA
-0.19895680395521015,0.10113386525164064,0.5413117633911795,-1.223110073779646,-0.5727877958106866,-0.17790649149116772,0.18149507158617695,0.8025252088697855,28.648488805070528,1.1308197206253547,beta_vals[9],9,2,2,1,NA,908,9,1,NA
-0.2594422733196783,0.10179881500894937,0.5411538181682736,-1.285273525775654,-0.6341191125521711,-0.24651228983061688,0.123775386750499,0.7554970859221714,28.258949204164715,1.126504529672106,beta_vals[10],10,2,2,2,NA,867,10,1,NA
0.2944651969698199,0.0833797796085479,0.8478104879972643,-1.436545161780976,-0.2670107962614627,0.31486711514128896,0.8772210682988136,1.8733066478741769,103.3894163960597,1.0320158120473586,beta_vals[11],11,NA,NA,NA,1,10,11,1,NA
-0.2816006157965693,0.09812895934567369,0.5446659837753336,-1.3039426272017884,-0.6661746311067662,-0.2763502049550519,0.09964199645320768,0.7681864242580261,30.80818542825088,1.1150630564332573,beta_vals[12],12,NA,NA,NA,2,20,12,1,NA
0.01715830082807009,0.09912348769992212,0.5496132860892965,-1.0382550017928118,-0.365368799400072,0.032053185505813944,0.40749986768132873,1.0813911650102603,30.744065469314535,1.1146592890506881,beta_vals[13],13,NA,NA,NA,3,19,13,1,NA
-0.06653056564568673,0.099054612350274,0.5468499808995005,-1.088968313927492,-0.4554048685746035,-0.05547253438638802,0.320793228987933,0.9874345637664329,30.47803736484311,1.117275901558418,beta_vals[14],14,NA,NA,NA,4,20,14,1,NA
-0.3104646033092987,0.09931260086991538,0.5482290176973648,-1.352028709417979,-0.6873025623361458,-0.3048320845931985,0.07669795291873796,0.7439217291285437,30.47300806610171,1.1169845113507153,beta_vals[15],15,NA,NA,NA,5,20,15,1,NA
-0.03680024542804479,0.09807722385454436,0.5472245799274961,-1.0665786724771453,-0.4190951790395405,-0.030789415688569948,0.3528000401947251,1.0007512093724813,31.131128523571835,1.1147337163276623,beta_vals[16],16,NA,NA,NA,6,20,16,1,NA
0.08760665262793814,0.09896349524470817,0.5502290477906198,-0.9523369373253353,-0.2918789626354928,0.09635524479234892,0.4747798205278497,1.1280809059602288,30.91270268814471,1.116272095408965,beta_vals[17],17,NA,NA,NA,7,19,17,1,NA
0.034853285823827476,0.0993147262809631,0.5502083494363924,-1.0108926283916797,-0.34563726585352095,0.037301588396112265,0.43451797041314333,1.0928563263664792,30.692131700950007,1.115319311963094,beta_vals[18],18,NA,NA,NA,8,20,18,1,NA
0.06898794966875613,0.09819980141333856,0.549814803471698,-0.9597504950034058,-0.3149951274868305,0.07183846252748807,0.46518616119978695,1.1105301637093314,31.348129961333143,1.1136637506610512,beta_vals[19],19,NA,NA,NA,9,20,19,1,NA
0.07038467562863264,0.09883761833978613,0.5465467881899834,-0.9626016709713981,-0.30833606705828365,0.08463303176288592,0.4615552009775053,1.1157587880144317,30.57807555368412,1.1171742873588022,beta_vals[20],20,NA,NA,NA,10,19,20,1,NA
-0.12959888169144068,0.09911294365149778,0.5464531266808568,-1.1621620913891426,-0.5134452291533935,-0.11407557180853589,0.25610749416053813,0.9118278738490013,30.398004905933536,1.116329319672141,beta_vals[21],21,NA,NA,NA,11,20,21,1,NA
0.08226998237200046,0.09963321989636116,0.5470011590726768,-0.9508548239888023,-0.29572204749471703,0.08710593098474043,0.4734260652415635,1.1135548035154021,30.14172904315049,1.1179559009987001,beta_vals[22],22,NA,NA,NA,12,20,22,1,NA
